Time,X (km),Y (km),Z (km)
2024-12-30 18:57:26.902674,2664.715098132897,-4021.0967767238817,-4977.082017632378
2024-12-30 19:07:26.902674,5999.960503063283,-2443.1861245224036,-2458.374674719056
2024-12-30 19:17:26.902674,6837.38374328715,151.08741530161637,1085.4875694134762
2024-12-30 19:27:26.902674,4822.236608184745,2682.094713333179,4174.966147759293
2024-12-30 19:37:26.902674,794.8061453479324,4094.0624201788296,5517.868540657898
2024-12-30 19:47:26.902674,-3564.125858294323,3798.587586484859,4553.405422170231
2024-12-30 19:57:26.902674,-6435.753100040413,1918.2526336611334,1684.1404222501471
2024-12-30 20:07:26.902674,-6621.702858735056,-762.7307950305211,-1889.9965992280079
2024-12-30 20:17:26.902674,-4049.5389837960947,-3126.6574254016973,-4675.664724358781
2024-12-30 20:27:26.902674,204.4091204873654,-4193.03768606146,-5515.626444535194
2024-12-30 20:37:26.902674,4373.451809780661,-3521.092947816055,-4062.883366956677
2024-12-30 20:47:26.902674,6724.751309938953,-1386.691847257588,-918.3413300272149
2024-12-30 20:57:26.902674,6273.182141963904,1325.1608165405848,2609.284771211516
2024-12-30 21:07:26.902674,3203.6390121970385,3483.9639577337707,5045.057440010856
2024-12-30 21:17:26.902674,-1202.4553791359676,4189.531030212573,5370.801334876951
2024-12-30 21:27:26.902674,-5106.864741761359,3147.6827428324145,3450.4997709236477
2024-12-30 21:37:26.902674,-6879.826347364396,792.1973850547255,86.38196499663512
2024-12-30 21:47:26.902674,-5783.439163005147,-1894.0618571444866,-3314.361258713943
2024-12-30 21:57:26.902674,-2281.3077224059816,-3793.265573779912,-5333.850566079955
2024-12-30 22:07:26.902674,2167.3694540152833,-4119.53616357501,-5135.6104012198375
2024-12-30 22:17:26.902674,5716.351291998812,-2737.050212703847,-2801.578607495901
2024-12-30 22:27:26.902674,6886.318584614013,-216.27510428161105,700.4288236241514
2024-12-30 22:37:26.902674,5183.687656756391,2394.4316821548387,3909.094003323944
2024-12-30 22:47:26.902674,1317.850281246384,4006.0623273588494,5482.309765817474
2024-12-30 22:57:26.902674,-3097.6777490983277,3946.9305332115136,4762.994123172875
2024-12-30 23:07:26.902674,-6220.605574441841,2241.151232627248,2051.327924105977
2024-12-30 23:17:26.902674,-6747.430332840213,-400.04646886640313,-1518.8453654873065
2024-12-30 23:27:26.902674,-4462.935235554312,-2875.1560376503994,-4455.300057872455
2024-12-30 23:37:26.902674,-324.442220657516,-4156.803905932962,-5537.249013957684
2024-12-30 23:47:26.902674,3948.524242012878,-3715.1998806065785,-4317.5559886553865
2024-12-30 23:57:26.902674,6580.827563938516,-1730.9603221380696,-1300.518711769627
2024-12-31 00:07:26.902674,6470.950484611214,973.9791707403832,2259.102162839662
2024-12-31 00:17:26.902674,3660.6618440918,3272.3942625879085,4873.369640314623
2024-12-31 00:27:26.902674,-676.9316309845922,4205.747412101026,5449.291100499646
2024-12-31 00:37:26.902674,-4732.078784758819,3384.9822230121504,3746.4179168113074
2024-12-31 00:47:26.902674,-6812.237092912983,1151.6107030553014,475.9834074388962
2024-12-31 00:57:26.902674,-6050.7078341998895,-1562.4699624530228,-2993.963224998837
2024-12-31 01:07:26.902674,-2771.4154739750934,-3627.169462085156,-5215.814702724819
2024-12-31 01:17:26.902674,1657.9846192593368,-4187.58669240549,-5268.658429697519
2024-12-31 01:27:26.902674,5399.221494766242,-3011.321230785471,-3130.7447271028227
2024-12-31 01:37:26.902674,6894.131366471779,-583.072560184645,312.016029631088
2024-12-31 01:47:26.902674,5513.644166088393,2088.0213220861906,3623.836981585354
2024-12-31 01:57:26.902674,1832.1807092599672,3887.842322815687,5419.467369185141
2024-12-31 02:07:26.902674,-2613.5417919544043,4066.1686131130855,4948.785200783019
